k_leak,J (G1),J_H+,J_Na+
0.011220184543019636,20.50836016406416,20.509482701897916,20.50492222448099
0.012589254117941675,20.50836016406416,20.509619665651538,20.50450275255239
0.01412537544622754,20.50836016406416,20.50977333980762,20.504032102523304
0.015848931924611134,20.50836016406416,20.509945762902717,20.50350403107141
0.01778279410038923,20.50836016406416,20.510139222098303,20.50291153342346
0.0199526231496888,20.50836016406416,20.510356283488072,20.502246750534713
0.0223872113856834,20.50836016406416,20.51059982609559,20.50150086496596
0.025118864315095794,20.50836016406416,20.510873080010704,20.500663984085143
0.028183829312644536,20.50836016406416,20.51117966916718,20.499725009054533
0.03162277660168379,20.50836016406416,20.51152365932467,20.498671487878575
0.03548133892335755,20.50836016406416,20.511909611886285,20.497489450579785
0.039810717055349734,20.50836016406416,20.512342644258624,20.496163224336993
0.0446683592150963,20.50836016406416,20.512828497546476,20.494675226160236
0.05011872336272725,20.50836016406416,20.513373612469277,20.493005730385505
0.05623413251903491,20.50836016406416,20.51398521449241,20.49113260794696
0.06309573444801933,20.50836016406416,20.514671409285725,20.48903103402159
0.0707945784384138,20.50836016406416,20.5154412897531,20.486673160234584
0.07943282347242814,20.50836016406416,20.516305056025836,20.484027747162227
0.08912509381337459,20.50836016406416,20.517274149976313,20.481059752363304
0.1,20.50836016406416,20.518361405992867,20.477729868608872
0.11220184543019636,20.50836016406416,20.519581219960447,20.47399400635357
0.12589254117941676,20.50836016406416,20.520949738619294,20.46980271379658
0.14125375446227548,20.50836016406416,20.522485071725797,20.4651005271072
0.15848931924611143,20.50836016406416,20.524207529719785,20.459825242533395
0.1778279410038923,20.50836016406416,20.52613988991212,20.45390710116265
0.19952623149688797,20.50836016406416,20.528307694548943,20.44726787605555
0.223872113856834,20.50836016406416,20.530739584486877,20.439819850315853
0.25118864315095807,20.50836016406416,20.533467672628973,20.431464673387225
0.2818382931264455,20.50836016406416,20.536527961727476,20.422092081469742
0.31622776601683794,20.50836016406416,20.53996081165883,20.411578466420682
0.35481338923357547,20.50836016406416,20.543811461819974,20.39978527583781
0.3981071705534973,20.50836016406416,20.548130614885544,20.386557225215856
0.44668359215096326,20.50836016406416,20.552975088802736,20.371720301115168
0.5011872336272725,20.50836016406416,20.558408544583838,20.35507953218815
0.5623413251903491,20.50836016406416,20.564502298184678,20.336416502680823
0.6309573444801934,20.50836016406416,20.571336225523865,20.31548658067599
0.707945784384138,20.50836016406416,20.57899977049846,20.29201583089508
0.7943282347242817,20.50836016406416,20.58759306667255,20.26569757935958
0.8912509381337459,20.50836016406416,20.597228184142413,20.23618859468027
1.0,20.50836016406416,20.608030513892288,20.203104848261265
1.1220184543019642,20.50836016406416,20.620140302718056,20.16601681336733
1.2589254117941675,20.50836016406416,20.633714352472182,20.124444260932584
1.412537544622754,20.50836016406416,20.64892789791954,20.077850508346973
1.584893192461114,20.50836016406416,20.665976677820705,20.025636076454667
1.7782794100389228,20.50836016406416,20.68507921389018,19.96713170990452
1.9952623149688808,20.50836016406416,20.706479311899642,19.901590717148387
2.23872113856834,20.50836016406416,20.730448798271226,19.828180589215545
2.5118864315095824,20.50836016406416,20.757290503859995,19.745973861434287
2.818382931264455,20.50836016406416,20.78734150404248,19.653938190176813
3.1622776601683795,20.50836016406416,20.820976620452516,19.550925628271322
3.548133892335757,20.50836016406416,20.85861218441914,19.435661098911673
3.981071705534973,20.50836016406416,20.90071005499548,19.306730089844613
4.4668359215096345,20.50836016406416,20.947781874982443,19.162565618662203
5.011872336272725,20.50836016406416,21.000393536045834,19.001434557714667
5.623413251903491,20.50836016406416,21.059169808331355,18.82142345522359
6.309573444801936,20.50836016406416,21.12479907027695,18.62042404952612
7.07945784384138,20.50836016406416,21.198038049944646,18.39611874803879
7.943282347242821,20.50836016406416,21.279716459481257,18.14596643353036
8.91250938133746,20.50836016406416,21.37074136865167,17.86718906952331
10.0,20.50836016406416,21.472101121281224,17.55675970560526
11.220184543019641,20.50836016406416,21.58486854963975,17.211392632897898
12.589254117941675,20.50836016406416,21.710203186437383,16.827536609489986
14.125375446227554,20.50836016406416,21.849352112899147,16.401372263082433
15.848931924611142,20.50836016406416,22.00364901589836,15.928814978657819
17.78279410038923,20.50836016406416,22.174510960041705,15.405524784451515
19.952623149688808,20.50836016406416,22.36343231605845,14.826924947165491
22.3872113856834,20.50836016406416,22.57197523080822,14.188231158991092
25.11886431509582,20.50836016406416,22.801755984755893,13.484493319877739
28.18382931264455,20.50836016406416,23.054426570253213,12.710651956793464
31.622776601683793,20.50836016406416,23.331650851100402,11.861611238624413
35.48133892335757,20.50836016406416,23.63507474525046,10.932330296091038
39.810717055349734,20.50836016406416,23.96629002383193,9.91793409264169
44.668359215096345,20.50836016406416,24.326791556056627,8.813844368301064
50.11872336272725,20.50836016406416,24.717928163330516,7.615930156287739
56.23413251903491,20.50836016406416,25.14084768320214,6.320676032867558
63.095734448019364,20.50836016406416,25.596437380894677,4.925364615926753
70.79457843841381,20.50836016406416,26.085261465140064,3.428267932051485
79.43282347242821,20.50836016406416,26.607498130019536,1.8288402352838684
89.12509381337459,20.50836016406416,27.16287919949299,0.12790285475494123
100.0,20.50836016406416,27.750636020620398,-1.672190095233928
112.2018454301963,20.50836016406416,28.36945564447001,-3.567417512705303
125.89254117941688,20.50836016406416,29.017451454247123,-5.552001352267922
141.25375446227554,20.50836016406416,29.692152161164003,-7.618372923326772
158.48931924611142,20.50836016406416,30.390512429931853,-9.757205432237564
177.82794100389228,20.50836016406416,31.10894730296264,-11.957519411560254
199.52623149688787,20.50836016406416,31.843391111203324,-14.2068631432776
223.87211385683423,20.50836016406416,32.5893798022662,-16.491564800976683
251.18864315095823,20.50836016406416,33.34215375569855,-18.79704733695074
281.8382931264455,20.50836016406416,34.09677640349008,-21.108191775199685
316.22776601683796,20.50836016406416,34.848262552061236,-23.409730216663434
354.8133892335753,20.50836016406416,35.59170940109609,-25.686647103943635
398.1071705534977,20.50836016406416,36.32242300051573,-27.924566514650287
446.6835921509635,20.50836016406416,37.03603331574136,-30.110104565936627
501.18723362727246,20.50836016406416,37.72859212237882,-32.23116923157424
562.341325190349,20.50836016406416,38.39664947890413,-34.2771945509618
630.9573444801943,20.50836016406416,39.03730632740857,-36.23930172675411
707.9457843841387,20.50836016406416,39.64824262573779,-38.110385283734836
