k_leak,J_H+,J_Na+,J_12,J_61
0.01,20.509360631618300000,20.505296082923400000,20.509360631618300000,20.505296082923400000
1,20.608030513892200000,20.203104848261200000,20.608030513892200000,20.203104848261200000
100,27.750636020620300000,-1.672190095233920000,27.750636020620300000,-1.672190095233920000
,,,,
,,,,
k_leak,J_H - J12,J_Na - J_61,,
0.01,0.000000000000000000,0.000000000000000000,,
1,0.000000000000000000,0.000000000000000000,,
100,0.000000000000000000,0.000000000000000000,,
