R_AA,"J_H = J_{7,1} + J_{8,2}","J_D = J_{6,4} + J_{8,2}"
100000000.0,0.10436215869583496,-0.1038428756452279
83176377.11026709,0.10441211224175953,-0.10384273003504182
69183097.09189363,0.10446688511401722,-0.10384257033192493
57543993.73371567,0.1045269422318117,-0.10384239516656889
47863009.2322638,0.10459279339609899,-0.10384220304050935
39810717.05534969,0.10466499756578808,-0.10384199230044876
33113112.148259077,0.10474416763776936,-0.10384176113716784
27542287.033381633,0.10483097561150201,-0.10384150756117494
22908676.527677726,0.1049261583279855,-0.10384122938718461
19054607.179632504,0.10503052369730508,-0.1038409242168294
15848931.924611157,0.10514495756270231,-0.10384058941194302
13182567.385564087,0.10527043121735771,-0.10384022207496998
10964781.961431863,0.10540800963757474,-0.10383981902078804
9120108.393559106,0.10555886053184182,-0.10383937674642296
7585775.750291844,0.10572426423019432,-0.10383889140185976
6309573.444801937,0.10590562455209293,-0.10383835874958494
5248074.602497729,0.10610448071670386,-0.10383777412889661
4365158.3224016605,0.10632252038897193,-0.10383713240798854
3630780.547701018,0.10656159400046698,-0.10383642793728205
3019951.7204020186,0.10682373042925866,-0.10383565449353335
2511886.431509582,0.10711115420997629,-0.10383480521863732
2089296.1308540408,0.1074263043890867,-0.10383387255155434
1737800.8287493763,0.10777185519549734,-0.10383284815241892
1445439.770745928,0.10815073870895495,-0.1038317228175766
1202264.434617413,0.108566169700213,-0.10383048638301566
1000000.0,0.10902167286741894,-0.1038291276188321
831763.7711026708,0.10952111268851047,-0.10382763410827203
691830.9709189363,0.11006872614422664,-0.10382599211208626
575439.9373371566,0.11066915858950888,-0.10382418641599889
478630.09232263826,0.11132750306535127,-0.10382220015873417
398107.1705534971,0.11204934338793182,-0.1038200146359628
331131.1214825909,0.1128408013727023,-0.10381760907966558
275422.8703338165,0.11370858858763612,-0.10381496040601788
229086.76527677715,0.11466006306411596,-0.10381204292918374
190546.07179632495,0.11570329144365075,-0.10380882803497173
158489.3192461115,0.11684711706354989,-0.10380528380647291
131825.67385564087,0.11810123455663309,-0.10380137459682708
109647.81961431862,0.11947627156942618,-0.10379706053775718
91201.08393559104,0.12098387827169942,-0.10379229697433547
75857.75750291844,0.12263682538971576,-0.10378703381356391
63095.73444801936,0.12444911155370983,-0.10378121477177762
52480.746024977285,0.12643608082768903,-0.1037747765037537
43651.583224016635,0.12861455136146932,-0.10376764759254425
36307.80547701016,0.13100295618450442,-0.1037597473756603
30199.517204020176,0.13362149724674435,-0.10375098457877971
25118.86431509581,0.13649231390102912,-0.10374125572241255
20892.961308540398,0.1396396671162779,-0.10373044326023945
17378.008287493754,0.14309014080434965,-0.10371841340114399
14454.39770745928,0.1468728617460603,-0.10370501355637274
12022.644346174131,0.15101973969480617,-0.10369006934342587
10000.0,0.1555657293373572,-0.10367338106466364
8317.63771102671,0.16054911587161425,-0.1036547195631704
