R_off,"J_H = J_{7,1} + J_{8,2}","J_D = J_{6,4} + J_{8,2}"
1e-10,0.09792521902251902,-0.09686765010410828
1.2589254117941644e-10,0.09805409115164196,-0.09686748326364483
1.5848931924611124e-10,0.09819868703468496,-0.09686729606551278
1.9952623149688727e-10,0.09836092499461258,-0.09686708602568805
2.511886431509576e-10,0.0985429573565804,-0.09686685035704475
3.1622776601683795e-10,0.0987471989826797,-0.09686658593237307
3.981071705534963e-10,0.09897635928400485,-0.09686628924287886
5.011872336272719e-10,0.09923347813277049,-0.09686595635162455
6.30957344480191e-10,0.09952196614931166,-0.09686558284128363
7.943282347242801e-10,0.09984564989556975,-0.09686516375552458
1e-09,0.10020882257139516,-0.09686469353323549
1.2589254117941642e-09,0.10061630088217458,-0.09686416593473121
1.5848931924611124e-09,0.10107348882741123,-0.0968635739589458
1.9952623149688807e-09,0.10158644924901832,-0.09686290975052654
2.511886431509577e-09,0.10216198408139636,-0.09686216449558756
3.1622776601683795e-09,0.10280772435669679,-0.09686132830474219
3.981071705534963e-09,0.10353223114640302,-0.09686039008185827
5.01187233627272e-09,0.10434510876208579,-0.0968593373768042
6.309573444801936e-09,0.10525713169551566,-0.09685815622021064
7.943282347242805e-09,0.10628038695653781,-0.09685683093807777
1e-08,0.10742843366334551,-0.09685534394374909
1.2589254117941643e-08,0.10871648196054934,-0.09685367550449403
1.5848931924611126e-08,0.11016159358586351,-0.096851803479603
1.995262314968882e-08,0.11178290668000762,-0.09684970302651624
2.5118864315095774e-08,0.11360188773799093,-0.09684734627106986
3.162277660168379e-08,0.11564261393950144,-0.09684470193749788
3.981071705534963e-08,0.1179320894707782,-0.09684173493326116
5.01187233627272e-08,0.1205005998676623,-0.09683840588318944
6.309573444801939e-08,0.12338210886996367,-0.09683467060673726
7.943282347242805e-08,0.12661470278833814,-0.09683047953142294
1e-07,0.1302410879451965,-0.09682577703462791
1.2589254117941643e-07,0.13430914737084276,-0.09682050070501536
1.5848931924611122e-07,0.13887256361359088,-0.09681458051374284
1.9952623149688816e-07,0.1439915152645665,-0.09680793788442915
2.511886431509577e-07,0.1497334556054659,-0.09680048464950565
3.162277660168379e-07,0.15617398266445992,-0.09679212187904984
3.9810717055349634e-07,0.16339781090835262,-0.09678273856648942
5.01187233627272e-07,0.17149985581315702,-0.09677221015368138
6.30957344480194e-07,0.18058644363089602,-0.09676039687567664
7.943282347242806e-07,0.1907766598020058,-0.0967471419031049
1e-06,0.20220385064321772,-0.09673226925737916
1.2589254117941676e-06,0.21501729414424495,-0.0967155814708827
1.5848931924611126e-06,0.22938405691638006,-0.09669685696086552
1.9952623149688766e-06,0.2454910555124449,-0.09667584708195519
2.5118864315095768e-06,0.26354734143374753,-0.09665227281783358
3.1622776601683788e-06,0.28378663009440447,-0.09662582106780966
3.981071705534973e-06,0.3064700947425173,-0.09659614047854789
5.011872336272719e-06,0.33188944673379706,-0.09656283676509737
6.3095734448019305e-06,0.36037032347827697,-0.09652546745851473
7.943282347242806e-06,0.39227600466205975,-0.09648353600964116
1e-05,0.428011475758196,-0.09643648516998937
1.2589254117941675e-05,0.468027855114435,-0.09638368956101571
1.5848931924611124e-05,0.5128271966969314,-0.09632444733224901
1.9952623149688786e-05,0.5629676744636701,-0.09625797079668205
2.5118864315095768e-05,0.6190691458329382,-0.09618337591842621
3.1622776601683795e-05,0.6818190801989642,-0.0960996705127129
3.9810717055349735e-05,0.7519788232085675,-0.09600574100188977
5.01187233627272e-05,0.8303901477159814,-0.09590033755298975
6.309573444801929e-05,0.9179820170206902,-0.09578205740275177
7.943282347242806e-05,1.0157774540881999,-0.09564932615472954
0.0001,1.1249003707849816,-0.09550037681052947
0.00012589254117941674,1.2465821624990063,-0.095333226273646
0.00015848931924611126,1.3821678146416285,-0.09514564904046555
0.00019952623149688788,1.53312119733132,-0.0949351477698365
0.0002511886431509577,1.7010291422108945,-0.09469892040169425
0.00031622776601683794,1.8876038005034148,-0.09443382347897514
0.0003981071705534973,2.0946826745192735,-0.09413633131872712
0.000501187233627272,2.3242255975173047,-0.09380249068283475
0.000630957344480193,2.5783078124004746,-0.09342787062263597
0.0007943282347242807,2.8591081737382775,-0.09300750722427698
0.001,3.1688913785121553,-0.0925358430751595
0.0012589254117941675,3.509983030799303,-0.09200666142306671
0.0015848931924611123,3.8847362805409813,-0.09141301523010287
0.001995262314968879,4.295488767329691,-0.0907471516615816
0.0025118864315095773,4.7445086720450504,-0.09000043303059882
0.0031622776601683794,5.233928861192023,-0.08916325588537448
0.003981071705534973,5.765668432002624,-0.0882249708292584
0.00501187233627272,6.34134146077282,-0.0871738068592872
0.006309573444801929,6.962153446885663,-0.08599680555684777
