R_off,k_AA,Proton Flux (/s),Substrate Flux (/s)
5.011872336272719e-06,1.0,0.027446509490003417,-0.024485677474309873
6.3095734448019305e-06,1.0,0.027786365892254312,-0.024467255254744687
7.943282347242806e-06,1.0,0.028166945802578933,-0.02444660937394552
1e-05,1.0,0.028593027952397883,-0.02442347470457603
1.2589254117941675e-05,1.0,0.029069925984371196,-0.02439755534861587
1.5848931924611124e-05,1.0,0.029603541686035448,-0.02436852128136015
1.9952623149688786e-05,1.0,0.030200421779226272,-0.02433600468490911
2.5118864315095768e-05,1.0,0.030867818007975098,-0.024299595957198713
3.1622776601683795e-05,1.0,0.03161375008446148,-0.024258839386451004
3.9810717055349735e-05,1.0,0.0324470708182093,-0.024213228486389467
5.01187233627272e-05,1.0,0.033377532458056934,-0.024162200995075808
6.309573444801929e-05,1.0,0.03441585290863601,-0.0241051335502556
7.943282347242806e-05,1.0,0.035573780031753426,-0.02404133606718579
0.0001,1.0,0.03686415169690518,-0.023970045861671133
0.00012589254117941672,1.0,0.0383009485939411,-0.023890421582106046
0.00015848931924611128,1.0,0.03989933605700242,-0.02380153704039444
0.00019952623149688788,1.0,0.04167569026919572,-0.023702375063366775
0.0002511886431509577,1.0,0.043647603226346726,-0.023591821524328496
0.00031622776601683794,1.0,0.04583385975083673,-0.023468659759080638
0.0003981071705534973,1.0,0.04825437869362127,-0.023331565622284424
0.000501187233627272,1.0,0.050930109295432,-0.023179103498063416
0.000630957344480193,1.0,0.05388287257483288,-0.023009723642236746
0.0007943282347242807,1.0,0.057135136681790176,-0.02282176130059739
0.001,1.0,0.060709714549093005,-0.022613438114984917
0.0012589254117941675,1.0,0.06462937207962131,-0.022382866391775107
0.0015848931924611121,1.0,0.0689163357544517,-0.02212805685915843
0.0019952623149688785,1.0,0.07359169019721093,-0.021846930571435687
0.0025118864315095773,1.0,0.07867465916226173,-0.02153733561957674
0.0031622776601683794,1.0,0.08418176789431044,-0.02119706926457379
0.003981071705534973,1.0,0.09012589104623452,-0.020823906009500605
0.00501187233627272,1.0,0.0965151984404161,-0.020415631953464415
0.006309573444801929,1.0,0.1033520208376315,-0.019970085513575556
0.007943282347242805,1.0,0.11063166920709983,-0.019485204252178027
0.01,1.0,0.11834125312970185,-0.01895907710663012
0.012589254117941663,1.0,0.1264585559250568,-0.018390000800758255
0.01584893192461114,1.0,0.13495103455235377,-0.017776538649339337
0.019952623149688785,1.0,0.14377501972932477,-0.01711757939643463
0.02511886431509577,1.0,0.15287519440132472,-0.016412393220239588
0.03162277660168379,1.0,0.16218442520162388,-0.015660681671188087
0.03981071705534969,1.0,0.17162401087395893,-0.014862618172706699
0.05011872336272724,1.0,0.18110439354883426,-0.014018875885018621
0.06309573444801929,1.0,0.19052635404362817,-0.01313064026803358
0.07943282347242805,1.0,0.19978268283677342,-0.012199604594351173
